2013-03-07 08:58:40 669ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 08:58:42 302ms | Event (core/after_page_processed) triggered.
2013-03-07 09:02:52 400ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:02:53 200ms | Event (core/after_page_processed) triggered.
2013-03-07 09:04:46 785ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:04:47 431ms | Event (core/after_page_processed) triggered.
2013-03-07 09:17:25 31ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:17:25 747ms | Event (core/after_page_processed) triggered.
2013-03-07 09:17:32 912ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:17:33 571ms | Event (core/after_page_processed) triggered.
2013-03-07 09:17:38 64ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:17:38 699ms | Event (core/after_page_processed) triggered.
2013-03-07 09:20:17 119ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:20:17 860ms | Event (core/after_page_processed) triggered.
2013-03-07 09:20:26 698ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:20:27 319ms | Event (core/after_page_processed) triggered.
2013-03-07 09:25:29 605ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:25:30 314ms | Event (core/after_page_processed) triggered.
2013-03-07 09:27:06 21ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:27:06 646ms | Event (core/after_page_processed) triggered.
2013-03-07 09:27:36 396ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:27:37 31ms | Event (core/after_page_processed) triggered.
2013-03-07 09:28:49 569ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:28:50 175ms | Event (core/after_page_processed) triggered.
2013-03-07 09:29:21 320ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:29:22 50ms | Event (core/after_page_processed) triggered.
2013-03-07 09:30:50 989ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:30:51 646ms | Event (core/after_page_processed) triggered.
2013-03-07 09:31:00 993ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:31:01 667ms | Event (core/after_page_processed) triggered.
2013-03-07 09:31:08 614ms | Event (core/after_facebook_initialization) triggered.
2013-03-07 09:31:09 213ms | Event (core/after_page_processed) triggered.
2013-03-07 09:31:18 655ms | Event (core/after_facebook_initialization) triggered.
